#{"t_start": 1751109197.9007502, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-17.1,83,1919.05971
28.3,71,1919.226265
-109.6,101,1919.426729
-22.5,69,1919.727923
-21.5,72,1919.926392
18.4,46,1920.064024
-15.7,86,1946.071457
17.7,170,1946.401574
-28.6,54,1946.485349
-28.0,55,1946.613008
2.7,132,1946.802501
-23.1,68,1979.177901
-10.0,100,1979.366396
-22.1,70,1979.528962
-28.6,54,1979.638667
17.7,45,1979.706486
39.9,100,1979.83215
-17.1,83,1979.95183
-33.9,41,2008.348871
4.1,136,2008.647074
-17.8,81,2008.904385
-32.7,44,2009.062962
-19.6,76,2009.235499
17.1,43,2009.374128
-23.2,67,2009.521734
-28.7,54,2041.522136
-4.2,115,2041.723597
-24.6,64,2041.825325
-27.6,56,2041.907106
20.9,53,2042.082636
-16.8,83,2042.302049
-17.0,83,2042.488551
26.9,68,2070.215384
31.6,79,2070.481672
-15.3,87,2070.614318
-28.6,54,2070.710062
-18.2,80,2070.822759
-21.9,71,2070.971362
21.1,53,2071.049154
-0.4,124,2102.908933
-21.1,73,2103.107401
-21.1,73,2103.269966
-21.3,72,2103.378676
27.4,69,2103.552212
-1.8,121,2129.044024
21.8,55,2129.27341
-10.7,99,2129.477863
-30.6,49,2129.602531
37.5,94,2129.727196
-23.7,66,2129.887767
-21.8,71,2130.056316
-24.6,64,2162.350932
31.2,203,2162.730915
-28.0,55,2162.849597
38.4,96,2163.030114
-35.5,37,2163.112892
-24.4,64,2163.226588
-22.6,69,2200.269503
-21.7,71,2200.638516
10.5,27,2200.755204
-67.4,82,2201.021491
-23.0,68,2201.585981
-0.7,124,2201.910114
-21.4,72,2202.165432
29.9,200,2231.536866
27.5,69,2231.789191
-12.9,93,2232.139254
-17.5,82,2232.374625
-28.5,54,2232.44344
-2.5,119,2265.669565
26.9,68,2266.381661
-21.2,72,2267.153595
-25.5,62,2267.572475
-6.1,110,2268.308506
-22.2,70,2268.707439
-0.7,124,2301.632367
-0.6,124,2301.940543
-21.5,72,2302.183892
-31.8,46,2302.51002
-9.2,102,2302.752371
-22.5,69,2335.27039
3.4,134,2335.567594
40.9,103,2335.802964
16.0,40,2335.881753
-114.5,89,2336.073243
14.8,37,2336.15203
31.2,203,2365.358906
12.8,32,2365.447667
12.1,31,2365.504516
-15.6,86,2365.716948
-20.4,74,2365.857572
19.1,48,2365.978249
10.0,25,2366.110894
-10.8,98,2400.360281
24.6,62,2400.548776
-13.5,92,2400.783149
12.7,32,2400.903826
16.1,41,2401.2499
-27.0,58,2401.368583
-71.9,71,2401.700695
19.4,174,2431.342406
-21.3,72,2431.631632
-26.0,60,2431.746325
-6.4,109,2431.918864
-9.8,101,2432.133291
14.3,36,2432.257957
19.0,173,2473.342062
-25.9,61,2473.432818
-21.5,72,2473.54452
-1.6,121,2473.810807
-21.7,71,2473.991325
22.4,56,2474.189793
-4.3,115,2510.567487
-4.4,114,2510.830783
10.3,26,2510.865689
-22.5,69,2510.983374
-10.0,100,2511.24667
-17.5,82,2511.418211
28.4,71,2543.375728
-22.2,70,2543.55824
4.8,137,2543.829514
-20.9,73,2544.166613
-26.8,58,2544.395999
-26.1,60,2544.591477
