#{"t_start": 1752660851.000786, "env_id": "VizdoomTakeCover-v0"}
r,l,t
21.7,55,2382.155542
-48.9,128,2414.021285
35.9,90,2415.071475
-26.0,60,2415.638957
-15.5,87,2416.303179
-65.4,87,2417.152905
-13.4,92,2457.74131
-24.4,64,2458.33572
-76.1,60,2459.052801
27.0,193,2460.802121
30.5,77,2461.436424
16.7,42,2461.837351
-8.3,105,2486.773634
-21.9,71,2487.546566
40.6,102,2488.20281
-27.2,57,2488.58778
-13.4,92,2489.811506
-22.5,69,2491.160895
-68.4,79,2521.084833
31.7,80,2522.353439
-22.9,68,2523.290931
-14.6,89,2524.01599
-6.5,109,2525.055211
-25.9,61,2528.578783
-22.9,68,2560.161284
-15.2,87,2560.839469
0.7,127,2562.504014
-22.2,70,2563.143305
-21.7,71,2563.720759
-26.8,58,2563.9671
-19.0,78,2597.338814
-25.8,61,2597.866402
-21.8,71,2598.685211
-8.7,104,2599.792249
4.2,136,2600.813516
-22.9,68,2601.601408
-18.6,79,2628.256094
13.3,34,2628.657021
-8.5,104,2629.511734
29.5,74,2630.129082
26.6,67,2630.798292
-27.1,58,2631.383725
-25.8,61,2632.239438
-26.8,58,2633.434239
14.3,36,2662.400738
-15.4,87,2663.522736
-64.7,89,2664.130111
-15.3,87,2665.152376
26.3,66,2665.799644
-21.3,72,2666.4888
-26.0,60,2667.605812
-75.8,61,2708.446541
-23.0,68,2708.943213
-17.4,82,2709.789948
27.3,69,2710.500047
16.5,42,2710.7793
-26.9,58,2711.050574
-78.9,53,2711.435544
-14.9,88,2741.357488
-20.2,75,2742.959202
-26.9,58,2743.824886
-22.9,68,2745.367757
-31.6,46,2746.002061
31.7,80,2746.380049
-6.1,110,2747.200853
-28.7,54,2747.940873
20.1,51,2771.781089
-25.9,61,2772.309674
-26.0,60,2772.974895
-26.9,58,2773.303016
16.3,41,2773.649091
22.1,56,2774.130801
-12.3,95,2774.921685
16.9,43,2775.457254
15.8,40,2776.196275
