Episodio,Puntaje
797,[1106.]
798,[1106.]
799,[369.]
800,[1106.]
801,[1106.]
802,[1106.]
803,[694.]
804,[333.]
805,[244.]
806,[1106.]
807,[217.]
808,[175.]
809,[1106.]
810,[1106.]
811,[1106.]
812,[1106.]
813,[340.]
814,[1106.]
815,[1106.]
816,[198.]
817,[206.]
818,[1106.]
819,[1106.]
820,[1106.]
821,[120.]
822,[280.]
823,[372.]
824,[1106.]
825,[1106.]
826,[1106.]
827,[471.]
828,[1106.]
829,[1106.]
830,[1106.]
831,[300.]
832,[1106.]
833,[1106.]
834,[1106.]
835,[1106.]
836,[127.]
837,[1106.]
838,[119.]
839,[1106.]
840,[494.]
841,[1106.]
842,[270.]
843,[1106.]
844,[500.]
845,[236.]
846,[1106.]
847,[1106.]
848,[1106.]
849,[111.]
850,[1106.]
851,[1106.]
852,[375.]
853,[1106.]
854,[240.]
855,[437.]
856,[1106.]
857,[1106.]
858,[163.]
859,[1106.]
860,[188.]
861,[1106.]
862,[1106.]
863,[1106.]
864,[296.]
865,[1106.]
866,[1106.]
867,[460.]
868,[1106.]
869,[1106.]
870,[311.]
871,[1106.]
872,[280.]
873,[1106.]
874,[1106.]
875,[394.]
876,[113.]
877,[162.]
878,[1106.]
879,[1106.]
880,[1106.]
881,[1106.]
882,[1106.]
883,[165.]
884,[1106.]
885,[1106.]
886,[1106.]
887,[185.]
888,[248.]
889,[318.]
890,[249.]
891,[100.]
892,[450.]
893,[1106.]
894,[1106.]
895,[371.]
896,[336.]
897,[1106.]
898,[1106.]
899,[515.]
900,[154.]
901,[436.]
902,[1106.]
903,[1106.]
904,[1106.]
905,[1106.]
906,[1106.]
907,[314.]
908,[1106.]
909,[1106.]
910,[469.]
911,[1106.]
912,[1106.]
913,[1106.]
914,[141.]
915,[793.]
916,[110.]
917,[276.]
918,[1106.]
919,[1106.]
920,[1106.]
921,[818.]
922,[317.]
923,[1106.]
924,[303.]
925,[1106.]
926,[350.]
927,[314.]
928,[241.]
929,[1106.]
930,[100.]
931,[1106.]
932,[345.]
933,[301.]
934,[1106.]
935,[1106.]
936,[1106.]
937,[474.]
938,[261.]
939,[1106.]
940,[1106.]
941,[1106.]
942,[1106.]
943,[110.]
944,[335.]
945,[1106.]
946,[1106.]
947,[1106.]
948,[1106.]
949,[566.]
950,[581.]
951,[1106.]
952,[248.]
953,[1106.]
954,[487.]
955,[1106.]
956,[1106.]
957,[98.]
958,[1106.]
959,[1106.]
960,[228.]
961,[98.]
962,[1106.]
963,[1106.]
964,[1106.]
965,[199.]
966,[1106.]
967,[303.]
968,[360.]
969,[460.]
970,[190.]
971,[1106.]
972,[1106.]
973,[1106.]
974,[139.]
975,[1106.]
976,[1106.]
977,[241.]
978,[1106.]
979,[1106.]
980,[340.]
981,[194.]
982,[1106.]
983,[1106.]
984,[1106.]
985,[183.]
986,[1106.]
987,[1106.]
988,[355.]
989,[1106.]
990,[316.]
991,[1106.]
992,[1106.]
993,[1106.]
994,[647.]
995,[1106.]
996,[1106.]
997,[139.]
998,[1106.]
999,[354.]
1000,[284.]
1001,[577.]
1002,[305.]
1003,[146.]
1004,[184.]
1005,[265.]
1006,[1106.]
1007,[382.]
1008,[1106.]
1009,[697.]
1010,[1106.]
1011,[1106.]
1012,[1106.]
1013,[352.]
1014,[1106.]
1015,[257.]
1016,[1106.]
1017,[1106.]
1018,[647.]
1019,[360.]
1020,[511.]
1021,[282.]
1022,[672.]
1023,[1106.]
1024,[1106.]
1025,[1106.]
1026,[1106.]
1027,[1106.]
1028,[346.]
1029,[162.]
1030,[414.]
1031,[1106.]
1032,[1106.]
1033,[259.]
1034,[1106.]
1035,[1106.]
1036,[1106.]
1037,[1106.]
1038,[1106.]
1039,[94.]
1040,[1106.]
1041,[724.]
1042,[1106.]
1043,[1106.]
1044,[390.]
1045,[78.]
1046,[307.]
1047,[1106.]
1048,[1106.]
1049,[1106.]
1050,[1106.]
1051,[318.]
1052,[1106.]
1053,[1106.]
1054,[332.]
1055,[1106.]
1056,[1106.]
1057,[180.]
1058,[350.]
1059,[1106.]
1060,[1106.]
1061,[548.]
1062,[110.]
1063,[1106.]
1064,[1106.]
1065,[1106.]
1066,[1106.]
1067,[1106.]
1068,[1106.]
1069,[1106.]
1070,[392.]
1071,[752.]
1072,[153.]
1073,[200.]
1074,[1106.]
1075,[541.]
1076,[321.]
1077,[438.]
1078,[122.]
1079,[1106.]
1080,[1106.]
1081,[185.]
1082,[1106.]
1083,[1106.]
1084,[1106.]
1085,[1106.]
1086,[295.]
1087,[291.]
1088,[460.]
