Episodio,Puntaje
1005,[911.]
1006,[208.]
1007,[147.]
1008,[911.]
1009,[1385.]
1010,[595.]
1011,[911.]
1012,[911.]
1013,[911.]
1014,[155.]
1015,[274.]
1016,[266.]
1017,[911.]
1018,[205.]
1019,[710.]
1020,[524.]
1021,[364.]
1022,[207.]
1023,[911.]
1024,[911.]
1025,[142.]
1026,[911.]
1027,[468.]
1028,[1473.]
1029,[911.]
1030,[911.]
1031,[911.]
1032,[911.]
1033,[911.]
1034,[166.]
1035,[136.]
1036,[911.]
1037,[911.]
1038,[230.]
1039,[829.]
1040,[911.]
1041,[450.]
1042,[911.]
1043,[911.]
1044,[911.]
1045,[724.]
1046,[225.]
1047,[390.]
1048,[421.]
1049,[911.]
1050,[519.]
1051,[138.]
1052,[179.]
1053,[911.]
1054,[118.]
1055,[143.]
1056,[139.]
1057,[911.]
1058,[911.]
1059,[911.]
1060,[911.]
1061,[226.]
1062,[400.]
1063,[188.]
1064,[911.]
1065,[941.]
1066,[911.]
1067,[911.]
1068,[1199.]
1069,[177.]
1070,[360.]
1071,[911.]
1072,[182.]
1073,[861.]
1074,[443.]
1075,[911.]
1076,[329.]
1077,[422.]
1078,[678.]
1079,[911.]
1080,[911.]
1081,[158.]
1082,[806.]
1083,[911.]
1084,[911.]
1085,[911.]
1086,[509.]
1087,[165.]
1088,[911.]
1089,[911.]
1090,[911.]
1091,[142.]
1092,[911.]
1093,[190.]
1094,[911.]
1095,[911.]
1096,[911.]
1097,[750.]
1098,[911.]
1099,[911.]
1100,[454.]
1101,[616.]
1102,[802.]
1103,[215.]
1104,[911.]
1105,[911.]
1106,[251.]
1107,[911.]
1108,[196.]
1109,[160.]
1110,[911.]
1111,[911.]
1112,[911.]
1113,[911.]
1114,[911.]
1115,[911.]
1116,[911.]
1117,[475.]
1118,[205.]
1119,[850.]
1120,[911.]
1121,[524.]
1122,[273.]
1123,[911.]
1124,[911.]
1125,[296.]
1126,[184.]
1127,[911.]
1128,[190.]
1129,[266.]
1130,[234.]
1131,[135.]
1132,[911.]
1133,[911.]
1134,[723.]
1135,[312.]
1136,[290.]
1137,[264.]
1138,[911.]
1139,[911.]
1140,[152.]
1141,[186.]
1142,[911.]
1143,[911.]
1144,[911.]
1145,[911.]
1146,[911.]
1147,[387.]
1148,[911.]
1149,[405.]
1150,[911.]
1151,[185.]
1152,[911.]
1153,[216.]
1154,[142.]
1155,[133.]
1156,[167.]
1157,[911.]
1158,[911.]
1159,[911.]
1160,[911.]
1161,[911.]
1162,[911.]
1163,[911.]
1164,[233.]
1165,[165.]
1166,[911.]
1167,[100.]
1168,[878.]
1169,[145.]
1170,[456.]
1171,[911.]
1172,[480.]
1173,[636.]
1174,[203.]
1175,[320.]
1176,[995.]
1177,[911.]
1178,[822.]
1179,[911.]
1180,[176.]
1181,[911.]
1182,[911.]
1183,[911.]
1184,[911.]
1185,[140.]
1186,[911.]
1187,[911.]
1188,[911.]
1189,[911.]
1190,[911.]
1191,[590.]
1192,[163.]
1193,[911.]
1194,[334.]
1195,[454.]
1196,[911.]
1197,[911.]
1198,[911.]
1199,[911.]
1200,[911.]
1201,[911.]
1202,[549.]
1203,[805.]
1204,[911.]
1205,[911.]
1206,[148.]
1207,[911.]
1208,[911.]
1209,[267.]
1210,[184.]
1211,[492.]
1212,[911.]
1213,[265.]
1214,[911.]
1215,[291.]
1216,[177.]
1217,[190.]
1218,[656.]
1219,[911.]
1220,[911.]
1221,[265.]
1222,[911.]
1223,[501.]
1224,[311.]
1225,[301.]
1226,[166.]
1227,[911.]
1228,[911.]
1229,[911.]
1230,[911.]
1231,[393.]
1232,[911.]
1233,[911.]
1234,[839.]
1235,[911.]
1236,[644.]
1237,[430.]
1238,[137.]
1239,[911.]
1240,[911.]
1241,[911.]
1242,[504.]
1243,[911.]
1244,[911.]
1245,[911.]
1246,[911.]
1247,[911.]
1248,[171.]
1249,[191.]
1250,[481.]
1251,[127.]
1252,[125.]
1253,[346.]
1254,[531.]
1255,[911.]
1256,[911.]
1257,[911.]
1258,[911.]
1259,[911.]
1260,[472.]
1261,[911.]
1262,[911.]
1263,[334.]
1264,[347.]
1265,[410.]
1266,[911.]
1267,[911.]
1268,[836.]
1269,[911.]
1270,[911.]
1271,[911.]
1272,[456.]
1273,[911.]
1274,[911.]
1275,[911.]
1276,[613.]
1277,[391.]
1278,[911.]
1279,[488.]
1280,[407.]
1281,[911.]
1282,[911.]
1283,[202.]
1284,[911.]
1285,[812.]
1286,[241.]
1287,[778.]
1288,[681.]
1289,[911.]
1290,[502.]
1291,[613.]
1292,[911.]
1293,[653.]
1294,[190.]
1295,[196.]
1296,[329.]
1297,[911.]
1298,[167.]
1299,[967.]
1300,[222.]
1301,[150.]
1302,[500.]
1303,[911.]
1304,[145.]
1305,[161.]
1306,[196.]
1307,[911.]
1308,[911.]
1309,[911.]
1310,[480.]
1311,[187.]
1312,[432.]
1313,[518.]
1314,[208.]
1315,[911.]
1316,[285.]
1317,[911.]
1318,[235.]
1319,[911.]
1320,[911.]
1321,[911.]
1322,[382.]
1323,[327.]
1324,[911.]
1325,[675.]
1326,[278.]
1327,[911.]
1328,[911.]
1329,[277.]
1330,[366.]
1331,[577.]
1332,[911.]
1333,[911.]
1334,[911.]
1335,[241.]
1336,[911.]
1337,[911.]
1338,[335.]
1339,[330.]
1340,[911.]
1341,[155.]
1342,[911.]
1343,[911.]
1344,[299.]
1345,[280.]
1346,[911.]
1347,[160.]
1348,[911.]
1349,[911.]
1350,[377.]
1351,[292.]
1352,[404.]
1353,[911.]
1354,[911.]
1355,[228.]
1356,[911.]
1357,[157.]
1358,[170.]
1359,[911.]
1360,[911.]
1361,[551.]
1362,[145.]
1363,[911.]
1364,[252.]
1365,[237.]
1366,[911.]
1367,[911.]
1368,[911.]
1369,[144.]
1370,[911.]
1371,[911.]
1372,[911.]
1373,[957.]
1374,[314.]
1375,[911.]
1376,[529.]
1377,[911.]
1378,[911.]
1379,[911.]
1380,[911.]
1381,[139.]
1382,[234.]
1383,[911.]
1384,[833.]
1385,[911.]
1386,[599.]
1387,[198.]
1388,[180.]
1389,[911.]
1390,[911.]
1391,[413.]
1392,[144.]
1393,[911.]
1394,[197.]
1395,[911.]
1396,[452.]
1397,[911.]
1398,[911.]
1399,[135.]
1400,[366.]
1401,[911.]
1402,[244.]
1403,[309.]
1404,[301.]
1405,[210.]
1406,[459.]
1407,[911.]
1408,[911.]
1409,[911.]
1410,[224.]
1411,[568.]
1412,[254.]
1413,[309.]
1414,[911.]
1415,[911.]
1416,[911.]
1417,[911.]
1418,[110.]
1419,[236.]
1420,[219.]
1421,[346.]
1422,[711.]
1423,[911.]
1424,[742.]
1425,[315.]
1426,[911.]
1427,[800.]
1428,[713.]
1429,[636.]
1430,[223.]
1431,[215.]
1432,[136.]
1433,[277.]
1434,[911.]
1435,[423.]
1436,[911.]
1437,[911.]
1438,[247.]
1439,[333.]
1440,[843.]
1441,[911.]
1442,[381.]
1443,[422.]
1444,[911.]
1445,[911.]
1446,[911.]
1447,[345.]
1448,[911.]
1449,[911.]
1450,[911.]
1451,[911.]
1452,[406.]
1453,[911.]
1454,[130.]
1455,[911.]
1456,[911.]
1457,[151.]
1458,[526.]
1459,[911.]
1460,[911.]
1461,[353.]
1462,[911.]
1463,[142.]
1464,[787.]
1465,[373.]
1466,[911.]
1467,[911.]
1468,[911.]
1469,[213.]
1470,[911.]
1471,[911.]
1472,[235.]
1473,[911.]
1474,[911.]
1475,[911.]
1476,[911.]
1477,[304.]
1478,[331.]
1479,[202.]
1480,[911.]
1481,[911.]
1482,[911.]
1483,[911.]
1484,[282.]
1485,[206.]
1486,[688.]
1487,[911.]
1488,[911.]
1489,[198.]
1490,[911.]
1491,[911.]
1492,[911.]
1493,[911.]
1494,[157.]
1495,[911.]
1496,[911.]
1497,[911.]
1498,[233.]
1499,[706.]
1500,[911.]
1501,[911.]
1502,[911.]
1503,[911.]
1504,[252.]
1505,[188.]
1506,[911.]
1507,[911.]
1508,[767.]
1509,[911.]
1510,[662.]
1511,[285.]
1512,[911.]
1513,[911.]
1514,[911.]
1515,[911.]
1516,[911.]
1517,[911.]
1518,[435.]
1519,[1004.]
1520,[911.]
1521,[334.]
1522,[911.]
1523,[924.]
1524,[214.]
1525,[947.]
1526,[911.]
1527,[123.]
1528,[121.]
1529,[911.]
1530,[911.]
1531,[911.]
1532,[911.]
1533,[167.]
1534,[911.]
1535,[911.]
1536,[153.]
1537,[178.]
1538,[911.]
1539,[159.]
1540,[911.]
1541,[213.]
1542,[341.]
1543,[911.]
1544,[911.]
1545,[235.]
1546,[128.]
1547,[911.]
1548,[597.]
1549,[235.]
1550,[742.]
1551,[484.]
1552,[157.]
1553,[302.]
1554,[911.]
1555,[911.]
1556,[350.]
1557,[106.]
1558,[193.]
1559,[911.]
1560,[159.]
1561,[140.]
1562,[911.]
1563,[911.]
1564,[911.]
1565,[911.]
1566,[911.]
1567,[911.]
1568,[625.]
1569,[911.]
1570,[360.]
1571,[911.]
1572,[911.]
1573,[678.]
1574,[911.]
1575,[222.]
1576,[110.]
1577,[264.]
1578,[215.]
1579,[139.]
1580,[841.]
1581,[911.]
1582,[123.]
1583,[911.]
1584,[159.]
1585,[368.]
1586,[911.]
1587,[911.]
1588,[609.]
1589,[911.]
1590,[633.]
1591,[911.]
1592,[257.]
1593,[159.]
